seed,alpha,method,coverage_overall,miscoverage,miscov_a0,miscov_a1,avg_utility,avg_maxmin,report_avg_maxmin,decision_avg_utility,set_size_mean,fdr_overall,action0_frequency,action1_frequency,rating1_recommend_rate,rating2_recommend_rate
0,0.02,Score-2,0.9816,0.018399999999999972,0.018276762402088753,0.04761904761904767,0.0073,0.0042,0.0042,0.0073,3.9601,0.7431399999999999,0.9958,0.0042,0.0,0.0008445945945945946
0,0.05,AC-RAC,0.9503,0.049699999999999966,0.04709246901811248,0.05257623554153523,0.4883,0.386118,-0.075,0.48644149999999997,3.7802,0.7350466666666667,0.5245,0.4755,0.10344827586206896,0.19172297297297297
0,0.05,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.05,RAC,0.9489,0.051100000000000034,0.0,0.1108700368843567,0.4838,0.6216,0.1607,0.4838,3.9175,0.7343466666666667,0.5391,0.4609,0.1412151067323481,0.19510135135135134
0,0.05,Score-1,0.9502,0.049799999999999955,0.04993770764119598,0.04619565217391308,0.0601,0.037,0.037,0.0601,3.4368,0.7125416666666667,0.9632,0.0368,0.0016420361247947454,0.0033783783783783786
0,0.05,Score-2,0.9518,0.04820000000000002,0.04803312629399581,0.05294117647058827,0.0548,0.0342,0.0342,0.0548,3.4432,0.7115833333333333,0.966,0.034,0.0049261083743842365,0.0033783783783783786
0,0.1,AC-RAC,0.8988,0.10119999999999996,0.10052910052910058,0.10154592300697185,0.5845,0.7097730000000001,0.0473,0.5869705,3.2271,0.708685,0.3402,0.6598,0.2545155993431856,0.34375
0,0.1,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.1,RAC,0.8976,0.10240000000000005,0.0,0.17877094972067042,0.5412,0.8888,0.316,0.5412,3.5384,0.71951,0.4272,0.5728,0.2512315270935961,0.28800675675675674
0,0.1,Score-1,0.9001,0.09989999999999999,0.09785120147874304,0.11309523809523814,0.1864,0.1364,0.1364,0.1864,2.9264,0.6776683333333333,0.8656,0.1344,0.021346469622331693,0.024493243243243243
0,0.1,Score-2,0.9,0.09999999999999998,0.09902433553885837,0.10803324099722988,0.1542,0.1099,0.1099,0.1542,2.9163,0.6767933333333334,0.8917,0.1083,0.027914614121510674,0.021114864864864864
0,0.15,AC-RAC,0.8477,0.1523,0.13715498938428872,0.15696533682145197,0.6042,0.9344775000000002,0.1637,0.607557,2.9323,0.7022866666666667,0.2355,0.7645,0.38752052545155996,0.4856418918918919
0,0.15,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
0,0.15,RAC,0.8428,0.1572,0.0,0.23803755299818297,0.57,1.1102,0.4498,0.57,3.2294,0.7134633333333333,0.3396,0.6604,0.34811165845648606,0.38006756756756754
0,0.15,Score-1,0.8491,0.15090000000000003,0.15086712739600994,0.15100815100815101,0.2987,0.2407,0.2407,0.2987,2.5695,0.6524916666666667,0.7669,0.2331,0.04433497536945813,0.05152027027027027
0,0.15,Score-2,0.8454,0.15459999999999996,0.15409671761463295,0.15659068384539143,0.2613,0.2088,0.2088,0.2613,2.5264,0.6496,0.7982,0.2018,0.052545155993431854,0.05067567567567568
0,0.2,AC-RAC,0.7931,0.20689999999999997,0.18878248974008205,0.21000234246896232,0.5988,1.1311,0.271,0.6019140000000001,2.7352,0.705425,0.1462,0.8538,0.5500821018062397,0.6494932432432432
0,0.2,Best Response,,,,,0.6113,,,,,,0.1706,0.8294,0.41707717569786534,0.6038851351351351
